index	red ir
399	23751	27447
400	23799	27478
401	23743	27462
402	23816	27464
403	23761	27517
404	23815	27456
405	23765	27540
406	23809	27463
407	23776	27538
408	23812	27477
409	23771	27532
410	23799	27487
411	23781	27517
412	23769	27455
413	23779	27474
414	23754	27418
415	23764	27414
416	23713	27352
417	23727	27355
418	23670	27306
419	23726	27285
420	23637	27261
421	23672	27202
422	23633	27242
423	23677	27143
424	23623	27213
425	23660	27121
426	23606	27170
427	23647	27093
428	23604	27139
429	23617	27088
430	23615	27121
431	23610	27081
432	23618	27108
433	23591	27077
434	23601	27101
435	23579	27059
436	23629	27072
437	23564	27065
438	23603	27044
439	23551	27063
440	23623	27017
441	23554	27058
442	23597	26993
443	23560	27052
444	23531	27030
445	23595	26965
446	23543	27034
447	23586	26965
448	23534	27028
449	23574	26946
450	23556	27012
451	23577	26945
452	23540	27001
453	23567	26959
454	23547	27022
455	23553	26976
456	23564	26996
457	23536	26983
458	23603	27020
459	23532	27014
460	23589	27019
461	23544	27042
462	23623	27033
463	23560	27079
464	23608	27036
465	23566	27097
466	23627	27050
467	23589	27125
468	23626	27053
469	23586	27129
470	23634	27067
471	23595	27145
472	23622	27082
473	23609	27132
474	23621	27085
475	23624	27124
476	23604	27097
477	23620	27121
478	23599	27113
479	23654	27131
480	23599	27122
481	23620	27122
482	23605	27154
483	23659	27092
484	23616	27159
485	23630	27113
486	23631	27168
487	23617	27125
488	23657	27161
489	23608	27122
490	23640	27169
491	23608	27139
492	23679	27146
493	23610	27170
494	23653	27157
495	23611	27187
496	23683	27152
497	23618	27210
498	23690	27159
499	23629	27242
500	23683	27162
501	23638	27227
502	23668	27171
503	23660	27223
504	23662	27195
505	23672	27238
506	23646	27211
507	23676	27240
508	23640	27212
509	23705	27239
510	23639	27240
511	23677	27217
512	23637	27254
513	23701	27208
514	23644	27272
515	23680	27215
516	23659	27276
517	23687	27212
518	23665	27284
519	23643	27237
520	23692	27252
521	23644	27282
522	23698	27244
523	23693	27286
524	23676	27261
525	23699	27293
526	23676	27312
527	23693	27269
528	23716	27306
529	23684	27285
530	23712	27328
531	23683	27300
532	23733	27324
533	23679	27337
534	23723	27327
535	23677	27353
536	23753	27328
537	23697	27379
538	23732	27325
539	23693	27394
540	23759	27333
541	23709	27412
542	23751	27330
543	23715	27404
544	23742	27359
545	23752	27393
546	23707	27372
547	23748	27408
548	23715	27396
549	23775	27395
550	23713	27421
551	23755	27389
552	23724	27452
553	23780	27386
554	23718	27451
555	23780	27376
556	23732	27446
557	23753	27348
558	23723	27408
559	23728	27314
560	23687	27344
561	23705	27266
562	23691	27269
563	23619	27226
564	23651	27182
565	23615	27190
566	23659	27114
567	23590	27153
568	23637	27067
569	23575	27123
570	23614	27055
571	23585	27097
572	23603	27035
573	23572	27079
574	23608	27032
575	23580	27077
576	23581	27022
577	23598	27058
578	23568	27033
579	23615	27054
580	23559	27025
581	23579	27029
582	23533	27036
583	23609	27010
584	23530	27026
585	23574	26985
586	23536	27026
587	23584	26958
588	23544	27022
589	23574	26941
590	23539	27004
591	23568	26950
592	23542	26996
593	23513	26955
594	23540	26973
595	23510	26952
596	23570	26932
597	23507	26977
598	23543	26935
599	23513	26974
600	23565	26926
601	23524	26996
602	23572	26920
603	23543	26995
604	23566	26942
605	23553	27007
606	23573	26980
607	23573	27023
608	23562	27005
609	23600	27062
610	23553	27033
611	23590	27046
612	23554	27076
613	23631	27033
614	23579	27096
615	23606	27012
616	23584	27094
617	23611	27019
618	23578	27087
619	23595	27063
620	23586	27016
621	23574	27063
622	23584	27028
623	23572	27036
624	23596	26990
625	23563	27070
626	23612	26994
627	23558	27075
628	23605	26999
629	23576	27063
630	23600	27006
631	23571	27059
632	23595	26998
633	23575	27060
634	23583	26995
635	23583	27047
636	23572	27021
637	23603	27054
638	23578	27025
639	23580	27052
640	23546	27022
641	23607	27058
642	23548	27039
643	23594	27041
644	23553	27054
645	23614	27025
646	23545	27071
647	23592	27009
648	23552	27059
649	23611	26995
650	23556	27058
651	23594	26991
652	23554	27051
653	23583	26986
654	23564	27039
655	23546	27006
656	23563	27034
657	23537	27013
658	23607	27011
659	23537	27025
660	23579	26994
661	23540	27043
662	23593	26976
663	23558	27037
664	23585	26986
665	23558	27034
666	23573	26995
667	23587	27039
668	23554	27022
669	23587	27037
670	23559	27046
671	23616	27022
672	23542	27070
673	23590	27020
674	23560	27078
675	23608	27010
676	23568	27087
677	23608	27021
678	23566	27092
679	23602	27022
680	23577	27084
681	23609	27045
682	23584	27085
683	23615	27051
684	23600	27100
685	23609	27070
686	23606	27108
687	23588	27084
688	23625	27120
689	23581	27093
690	23614	27102
691	23579	27113
692	23648	27112
693	23568	27145
694	23619	27101
695	23607	27156
696	23645	27100
697	23588	27161
698	23647	27111
699	23610	27178
700	23647	27121
701	23613	27185
702	23636	27118
703	23624	27169
704	23631	27115
705	23616	27133
706	23587	27071
707	23600	27085
708	23552	27026
709	23586	27035
710	23513	26967
711	23547	26975
712	23498	26928
713	23553	26902
714	23463	26909
715	23516	26865
716	23459	26888
717	23522	26823
718	23455	26887
719	23515	26812
720	23465	26877
721	23498	26785
722	23462	26859
723	23482	26784
724	23475	26827
725	23429	26825
726	23493	26780
727	23446	26828
728	23472	26770
729	23441	26827
730	23489	26745
731	23435	26822
732	23459	26738
733	23433	26814
734	23467	26736
735	23439	26804
736	23455	26737
737	23438	26773
738	23438	26734
739	23452	26712
740	23426	26786
741	23446	26705
742	23417	26767
743	23449	26724
744	23432	26759
745	23427	26722
746	23444	26767
747	23406	26746
748	23482	26747
749	23401	26769
750	23455	26731
751	23421	26813
752	23483	26744
753	23452	26833
754	23487	26794
755	23464	26861
756	23505	26809
757	23469	26888
758	23517	26842
759	23497	26897
760	23497	26875
761	23522	26911
762	23481	26883
763	23498	26911
764	23483	26901
765	23548	26894
766	23472	26914
767	23510	26891
768	23471	26931
769	23546	26878
770	23482	26953
771	23547	26891
772	23493	26952
773	23515	26907
774	23503	26901
775	23520	26921
776	23491	26942
777	23522	26886
778	23486	26931
779	23481	26892
780	23539	26903
781	23478	26926
782	23526	26861
783	23485	26944
784	23528	26883
785	23522	26941
786	23486	26954
787	23523	26902
788	23519	26946
789	23493	26962
790	23536	26916
791	23545	26930
792	23490	27001
793	23538	26930
794	23524	26950
795	23514	26993
796	23527	26956
797	23568	26945
798	23522	27007
799	23537	26980
800	23546	26976
801	23545	27022
802	23521	27003
803	23585	26977
804	23545	27044
805	23519	27033
806	23563	27029
807	23561	26994
808	23555	27024
809	23549	27068
810	23532	27021
811	23595	26999
812	23567	27077
813	23551	27092
814	23579	27042
815	23583	27049
816	23573	27115
817	23593	27135
818	23606	27076
819	23639	27087
820	23579	27139
821	23571	27119
822	23603	27104
823	23595	27165
824	23574	27168
825	23629	27129
826	23620	27158
827	23589	27191
828	23604	27160
829	23640	27158
830	23594	27220
831	23619	27196
832	23634	27193
833	23613	27252
834	23618	27209
835	23665	27203
836	23627	27266
837	23619	27232
838	23646	27198
839	23640	27268
840	23616	27261
841	23655	27224
842	23656	27273
843	23631	27296
844	23659	27238
845	23671	27288
846	23637	27318
847	23649	27281
848	23687	27266
849	23671	27321
850	23646	27358
851	23662	27317
852	23682	27309
853	23669	27358
854	23646	27360
855	23700	27320
856	23712	27360
857	23683	27394
858	23678	27364
859	23702	27345
860	23710	27397
861	23672	27414
862	23726	27371
863	23736	27369
864	23688	27401
865	23662	27390
866	23692	27316
867	23699	27334
868	23621	27317
869	23655	27235
870	23659	27229
871	23595	27217
872	23586	27151
873	23582	27106
874	23559	27121
875	23542	27065
876	23583	27021
877	23528	27066
878	23509	27032
879	23542	26982
880	23534	27031
881	23494	27039
882	23545	26971
883	23558	27011
884	23508	27012
885	23530	26957
886	23527	26942
887	23530	26978
888	23486	26986
889	23521	26952
890	23542	26920
891	23504	26965
892	23472	26961
893	23514	26917
894	23506	26901
895	23494	26935
896	23461	26936
897	23523	26874
898	23528	26912
899	23478	26931
