timestamp,red,ir
5013961.0,82673.8637486145,110006.13152891844
5033961.0,82699.65438368477,110079.20637454302
5053961.0,82706.27945394046,110086.08444207037
5073961.0,82704.03036343736,110044.4300583667
5093961.0,82684.28224790117,109993.69322017943
5114961.0,82674.8577142467,109970.83012496788
5134961.0,82672.88649494559,109993.51118369408
5154961.0,82677.23898622797,110032.78538839292
5174961.0,82698.71675504991,110096.90197706134
5194961.0,82720.95888091213,110189.77012146659
5214961.0,82752.39669886387,110275.22127037203
5234961.0,82774.86228942359,110363.22465692664
5254961.0,82788.89024047874,110450.07501369267
5274961.0,82817.70751183176,110533.95903124803
5294961.0,82838.36763775945,110617.70832272692
5315961.0,82847.84014782209,110699.02607392086
5335961.0,82870.01285154317,110779.06424231527
5355961.0,82894.11747855209,110835.97966261706
5375961.0,82909.5141812941,110915.09331701038
5395961.0,82913.72242765891,110859.74611653402
5415961.0,82835.6952540415,110415.85078921908
5435961.0,82670.41776434719,109775.20207032582
5455961.0,82527.8471225934,109271.86072566152
5475961.0,82442.91217247614,109007.02739302488
5496961.0,82398.63169152106,108949.86192776421
5516961.0,82407.63783784801,109022.2579665417
5536961.0,82448.71050034455,109154.1529119065
5556961.0,82484.67967811652,109297.20978648882
5576961.0,82523.86346778292,109423.82242480412
5596961.0,82556.36284017921,109534.81544915988
5616961.0,82584.10842734738,109637.1935190882
5636961.0,82618.79103383131,109728.29472357914
5656961.0,82626.41900083603,109776.02694255352
5677961.0,82618.38009330168,109755.33307187147
5697961.0,82607.6560313608,109706.84323404502
5717961.0,82596.81571473245,109660.12186747622
5737961.0,82596.36663927593,109645.00357520333
5757961.0,82602.20898593773,109689.03128114423
5777961.0,82626.6885135906,109759.81228195057
5797961.0,82649.48447626023,109838.1376100437
5817961.0,82674.01732469056,109925.2101539995
5837961.0,82701.7019951433,110023.66032957131
5857961.0,82717.93602627586,110128.62243288681
5878961.0,82751.92833009608,110248.4000960874
5898961.0,82780.21687758323,110362.477257728
5918961.0,82801.6980286308,110451.86899138808
5938961.0,82835.8664587895,110555.8653946151
5958961.0,82856.22860378548,110637.56846514197
5978961.0,82877.01798875359,110702.25542644365
5998961.0,82898.3232605385,110769.08839556386
6018961.0,82909.22139521885,110816.77523611729
6038961.0,82927.94771203992,110900.1332769524
6059961.0,82921.84767348842,110827.03027637841
6079961.0,82837.20798129021,110391.05170219131
6099961.0,82690.24812463467,109813.7998726718
6119961.0,82561.93350514569,109369.38611273574
6139961.0,82500.61234196866,109158.8860729431
6159961.0,82491.43803190604,109148.99430096209
6179961.0,82512.80549611502,109249.81389225827
6199961.0,82546.11057926087,109406.07755939999
6219961.0,82589.86130998003,109555.72721439364
6240961.0,82625.72761435714,109690.2992612303
6260961.0,82651.4780449486,109827.96605607544
6280961.0,82694.02886575021,109957.78236640328
6300961.0,82723.1093473701,110067.03623825507
6320961.0,82746.71718284398,110124.9403992372
6340961.0,82762.98550569513,110110.34748189908
6360961.0,82741.37440553046,110047.79074071159
6380961.0,82730.84008083455,110005.65099282603
6400961.0,82730.01589229543,110003.78985412512
6421961.0,82724.45733643958,110031.0993703597
6441961.0,82739.48640411602,110098.30155520578
6461961.0,82765.0804949292,110182.19033152737
6481961.0,82794.47520317732,110287.50215610597
6501961.0,82824.09526536457,110401.63913773415
6521961.0,82853.90935658422,110501.26192741818
6541961.0,82884.97603926074,110603.28922307777
6561961.0,82905.93741048867,110692.49307401877
6581961.0,82924.17960409075,110774.4192429771
6602961.0,82945.16357370741,110858.31259849251
6622961.0,82961.69534990806,110945.29780847949
6642961.0,82978.63522018475,111014.33779691393
6662961.0,82998.2587375869,111094.13752952973
6682961.0,83019.96291212145,111148.59328047931
6702961.0,82987.37946509637,110882.90467597463
6722961.0,82856.13349420867,110314.84534299593
6742961.0,82712.96532380111,109811.72737332142
6762961.0,82622.71461404848,109521.36459222402
6782961.0,82587.88747306912,109439.62062367355
6803961.0,82597.13624954084,109516.64441094495
6823961.0,82628.27981327604,109663.3521647747
6843961.0,82677.53897695085,109826.22685776709
6863961.0,82719.26140123408,109984.11068686789
6883961.0,82760.82633788366,110136.47668780587
6903961.0,82810.07152947795,110294.32190257391
6923961.0,82843.26745379076,110427.46788556574
6943961.0,82862.92115773604,110483.66515647978
6963961.0,82860.70243455733,110456.55668607856
6984961.0,82837.70091945198,110370.0132383371
7004961.0,82808.680153202,110282.8422461442
7024961.0,82795.64906391618,110245.76770304271
7044961.0,82805.14335599859,110265.31691015186
7064961.0,82818.46460908248,110324.23898802354
7084961.0,82838.95001046114,110401.16124825396
7104961.0,82869.25293459176,110513.60983813307
7124961.0,82900.2138553708,110634.66200037583
7144961.0,82917.30037550945,110719.12610419281
7165961.0,82933.49367012524,110817.16790663384
7185961.0,82962.00411231132,110930.05433600524
7205961.0,82987.09611559813,111027.86693468595
7225961.0,83014.21195940688,111122.54999154678
7245961.0,83046.22488112836,111223.98297672681
7265961.0,83068.48411552467,111270.19670423112
7285961.0,83023.81010531099,110987.9037415942
7305961.0,82886.8218178871,110404.04510065957
7325961.0,82748.84629891139,109927.0378700618
7345961.0,82663.97112935457,109659.29088048803
