"Data Set 1:Time(s)","Data Set 1:Force(N)","Data Set 1:Respiration Rate(bpm)","Data Set 2:Time(s)","Data Set 2:Force(N)","Data Set 2:Respiration Rate(bpm)","Data Set 3:Time(s)","Data Set 3:Force(N)","Data Set 3:Respiration Rate(bpm)","Data Set 4:Time(s)","Data Set 4:Force(N)","Data Set 4:Respiration Rate(bpm)","Data Set 5:Time(s)","Data Set 5:Force(N)","Data Set 5:Respiration Rate(bpm)"
0,11.745620727539062,7.7653145790100098,0,15.746749877929688,3.1645567417144775,0,11.020004272460938,13.392856597900391,0,4.3565597534179688,9.5137424468994141,0,0.9660797119140625,13.698630332946777
0.10000000000000001,11.684303283691406,,0.050000000000000003,18.63134765625,,0.10000000000000001,9.9468994140625,,0.10000000000000001,5.3504562377929688,,0.10000000000000001,0.9481964111328125,
0.20000000000000001,11.6025390625,,0.10000000000000001,23.478183746337891,,0.20000000000000001,8.7664947509765625,,0.20000000000000001,6.6713943481445312,,0.20000000000000001,1.0197296142578125,
0.29999999999999999,11.594879150390625,,0.14999999999999999,24.101600646972656,,0.29999999999999999,8.5876388549804688,,0.29999999999999999,7.307586669921875,,0.29999999999999999,1.3161163330078125,
0.40000000000000002,11.643424987792969,,0.20000000000000001,24.845108032226562,,0.40000000000000002,8.4522247314453125,,0.40000000000000002,7.915679931640625,,0.40000000000000002,1.7504653930664062,
0.5,11.691970825195312,,0.25,25.207916259765625,,0.5,8.2197189331054688,,0.5,8.521209716796875,,0.5,2.212921142578125,
0.59999999999999998,11.625534057617188,,0.29999999999999999,25.412315368652344,,0.59999999999999998,7.8850173950195312,,0.59999999999999998,9.1804046630859375,,0.59999999999999998,2.708587646484375,
0.69999999999999996,11.490119934082031,,0.34999999999999998,25.358661651611328,,0.69999999999999996,7.6550674438476562,,0.69999999999999996,9.7987136840820312,,0.69999999999999996,3.2144775390625,
0.80000000000000004,11.387924194335938,,0.40000000000000002,25.14404296875,,0.80000000000000004,7.5503158569335938,,0.80000000000000004,10.37103271484375,,0.80000000000000004,3.6769332885742188,
0.90000000000000002,11.265281677246094,,0.45000000000000001,24.689250946044922,,0.90000000000000002,7.473663330078125,,0.90000000000000002,11.048110961914062,,0.90000000000000002,4.162384033203125,
1,11.14263916015625,,0.5,24.303447723388672,,1,7.3970108032226562,,1,11.720069885253906,,1,4.650390625,
1.1000000000000001,11.060882568359375,,0.55000000000000004,23.616153717041016,,1.1000000000000001,7.325469970703125,,1.1000000000000001,12.228515625,,1.1000000000000001,5.0234146118164062,
1.2,10.943351745605469,,0.59999999999999998,23.128147125244141,,1.2,7.2590408325195312,,1.2,12.361373901367188,,1.2,5.2738113403320312,
1.3,10.795166015625,,0.65000000000000002,22.502170562744141,,1.3,7.2053909301757812,,1.3,11.988349914550781,,1.3,5.4424362182617188,
1.3999999999999999,10.636749267578125,,0.69999999999999996,22.195571899414062,,1.3999999999999999,7.1134109497070312,,1.3999999999999999,11.372589111328125,,1.3999999999999999,5.5344161987304688,
1.5,10.414466857910156,,0.75,21.932407379150391,,1.5,6.8809051513671875,,1.5,10.7210693359375,,1.5,5.5727462768554688,
1.6000000000000001,10.079765319824219,,0.80000000000000004,21.886417388916016,,1.6000000000000001,6.6739501953125,,1.6000000000000001,9.9903411865234375,,1.6000000000000001,5.5804061889648438,
1.7,9.6837387084960938,,0.84999999999999998,21.814876556396484,,1.7,6.6202926635742188,,1.7,9.441009521484375,,1.7,5.6366195678710938,
1.8,9.7067337036132812,,0.90000000000000002,21.628360748291016,,1.8,6.599853515625,,1.8,9.1676254272460938,,1.8,5.6468353271484375,
1.8999999999999999,10.110420227050781,,0.94999999999999996,21.140357971191406,,1.8999999999999999,6.5743026733398438,,1.8999999999999999,8.9555587768554688,,1.8999999999999999,5.5012054443359375,
2,10.736396789550781,,1,20.8388671875,,2,6.5615310668945312,,2,9.0424346923828125,,2,5.3427963256835938,
2.1000000000000001,11.178413391113281,,1.05,20.483722686767578,,2.1000000000000001,6.571746826171875,,2.1000000000000001,9.369476318359375,,2.1000000000000001,5.1767196655273438,
2.2000000000000002,11.334266662597656,,1.1000000000000001,20.266548156738281,,2.2000000000000002,6.6381759643554688,,2.2000000000000002,9.67095947265625,,2.2000000000000002,4.97998046875,
2.2999999999999998,11.3828125,,1.1499999999999999,19.988052368164062,,2.2999999999999998,6.6995010375976562,,2.2999999999999998,9.5968704223632812,,2.2999999999999998,4.640167236328125,
2.3999999999999999,11.265281677246094,,1.2,19.801536560058594,,2.3999999999999999,6.8093643188476562,,2.3999999999999999,9.37713623046875,,2.3999999999999999,4.1572723388671875,
2.5,11.119644165039062,,1.25,19.512821197509766,,2.5,7.2002792358398438,,2.5,9.0500946044921875,,2.5,3.6130599975585938,
2.6000000000000001,11.145195007324219,,1.3,19.351856231689453,,2.6000000000000001,7.841583251953125,,2.6000000000000001,8.7000656127929688,,2.6000000000000001,3.1531600952148438,
2.7000000000000002,11.211624145507812,,1.3500000000000001,19.185783386230469,,2.7000000000000002,8.5161056518554688,,2.7000000000000002,8.4777755737304688,,2.7000000000000002,2.79034423828125,
2.7999999999999998,11.275505065917969,,1.3999999999999999,19.104022979736328,,2.7999999999999998,9.1829605102539062,,2.7999999999999998,8.32958984375,,2.7999999999999998,2.4300918579101562,
2.8999999999999999,11.301055908203125,,1.45,18.884292602539062,,2.8999999999999999,9.8600311279296875,,2.8999999999999999,8.1890640258789062,,2.8999999999999999,2.0774993896484375,
3,11.306159973144531,,1.5,18.593021392822266,,3,10.595870971679688,,3,8.0306549072265625,,3,1.6993637084960938,
